x,y,Temperature
-4.000000000000000222e-01,-2.999999999999999889e-01,9.617266995856095946e+01
4.000000000000000222e-01,-2.999999999999999889e-01,3.233133445225790581e+01
4.000000000000000222e-01,2.999999999999999889e-01,3.000000000000000000e+01
-4.000000000000000222e-01,2.999999999999999889e-01,3.000000000000000000e+01
-2.000000000000000111e-01,-1.000000000000000056e-01,1.000000000000000000e+02
2.000000000000000111e-01,-1.000000000000000056e-01,1.000000000000000000e+02
2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000000e+02
-2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000000e+02
-4.000000000000000222e-01,0.000000000000000000e+00,8.727288863348577763e+01
4.000000000000000222e-01,0.000000000000000000e+00,3.394836592981172885e+01
-2.000000000000000111e-01,0.000000000000000000e+00,1.000000000000000000e+02
-4.000000000000000222e-01,1.499999999999999944e-01,6.646356420406786469e+01
-4.000000000000000222e-01,-1.499999999999999944e-01,9.460597127553009500e+01
-3.062500000000000222e-01,6.249999999999999306e-02,8.459766636516484084e+01
-3.000000000000000444e-01,-5.000000000000000278e-02,9.350744965785006002e+01
-4.000000000000000222e-01,-7.499999999999999722e-02,9.222979958656547694e+01
-2.000000000000000111e-01,-2.999999999999999889e-01,9.702513270611297003e+01
0.000000000000000000e+00,2.999999999999999889e-01,3.000000000000000000e+01
-4.000000000000000222e-01,7.499999999999999722e-02,7.925608723277255763e+01
0.000000000000000000e+00,-2.999999999999999889e-01,9.432756139387562655e+01
-3.345114575137687063e-01,1.261930812352478337e-01,7.307723731493196340e+01
-2.916666666666666852e-01,-1.583333333333333537e-01,9.610345059919723099e+01
-3.000000000000000444e-01,-2.999999999999999889e-01,9.642899760313272850e+01
-2.500000000000000000e-01,-2.318627450980392246e-01,9.690282691539047732e+01
-3.500000000000000333e-01,-2.259803921568627472e-01,9.582838165469793523e+01
-2.000000000000000111e-01,2.999999999999999889e-01,3.000000000000000000e+01
-2.503332344705248569e-01,2.000000000000000111e-01,5.956848191065726894e+01
-2.638622740220414320e-01,1.305232243396009517e-01,7.890674025965098792e+01
-3.000000000000000444e-01,2.999999999999999889e-01,3.000000000000000000e+01
-3.500000000000000333e-01,2.249999999999999778e-01,4.913588639535985436e+01
2.000000000000000111e-01,0.000000000000000000e+00,1.000000000000000000e+02
4.000000000000000222e-01,-1.499999999999999944e-01,3.346527865885746422e+01
4.000000000000000222e-01,1.499999999999999944e-01,3.028490817352250275e+01
3.062500000000000222e-01,-6.249999999999999306e-02,6.271917100229779862e+01
3.000000000000000444e-01,5.000000000000000278e-02,6.331698245717900875e+01
4.000000000000000222e-01,7.499999999999999722e-02,3.336870274005194403e+01
2.000000000000000111e-01,2.999999999999999889e-01,3.000000000000000000e+01
2.000000000000000111e-01,-2.999999999999999889e-01,7.670433347889228060e+01
4.000000000000000222e-01,-7.499999999999999722e-02,3.398051402190139925e+01
3.345114575137687063e-01,-1.261930812352478337e-01,5.285109297934776151e+01
2.916666666666666852e-01,1.583333333333333537e-01,5.371196320330024321e+01
3.000000000000000444e-01,2.999999999999999889e-01,3.000000000000000000e+01
2.500000000000000000e-01,2.318627450980392246e-01,4.573639821230208469e+01
3.500000000000000333e-01,2.259803921568627472e-01,3.579230798899699550e+01
2.503332344705248569e-01,-2.000000000000000111e-01,7.070863895374093033e+01
2.638622740220414320e-01,-1.305232243396009517e-01,7.405508791930670043e+01
3.000000000000000444e-01,-2.999999999999999889e-01,5.672482703314682340e+01
3.500000000000000333e-01,-2.249999999999999778e-01,4.564907327518170632e+01
-1.000000000000000056e-01,-2.999999999999999889e-01,9.666294160626272003e+01
0.000000000000000000e+00,-1.000000000000000056e-01,1.000000000000000000e+02
-5.000000000000000278e-02,-2.000000000000000111e-01,9.708445521153979030e+01
-1.507183227558334115e-01,-2.114225158662498827e-01,9.760804744141759670e+01
-2.107137868614077092e-01,-1.713484496498984821e-01,9.797486953525364584e+01
-1.000000000000000056e-01,-1.000000000000000056e-01,1.000000000000000000e+02
0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02
-1.751666172352624173e-01,2.248333827647375771e-01,5.471076030876983509e+01
-1.000000000000000056e-01,2.999999999999999889e-01,3.000000000000000000e+01
-5.000000000000000278e-02,2.000000000000000111e-01,6.465153414011649602e+01
-1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+02
-1.500000000000000222e-01,1.549401601228911629e-01,7.999866346668879657e+01
1.000000000000000056e-01,2.999999999999999889e-01,3.000000000000000000e+01
2.499999999999999792e-02,2.250000000000000056e-01,5.578688239018402584e+01
1.333333333333333315e-01,1.916666666666666519e-01,6.552322294516785917e+01
6.201690821256038155e-02,1.525966183574879176e-01,8.085772363787968686e+01
2.048218584929390185e-01,1.735825637524404941e-01,6.776689866462156431e+01
1.000000000000000056e-01,-1.000000000000000056e-01,1.000000000000000000e+02
1.751666172352624173e-01,-2.248333827647375771e-01,8.280229523086458698e+01
2.499999999999998751e-02,-1.749999999999999889e-01,9.648891088135198402e+01
1.000000000000000056e-01,-2.999999999999999889e-01,8.816156605206528241e+01
4.999999999999999584e-02,-2.449999999999999956e-01,9.271641903124334760e+01
1.500000000000000222e-01,-1.549401601228911629e-01,9.271392776043521167e+01
